"","count","geneset","methods"
"1",2,"GS-10-0-","ssGSEA"
"2",56,"GS-10-0-","JASMINE"
"3",74,"GS-10-0-","AUCell"
"4",56,"GS-10-0-","UCell"
"5",26,"GS-10-0-","scPS"
"6",24,"GS-10-0-","SCSE"
"7",18,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",68,"GS-10-0-","JASMINE1"
"10",85,"GS-10-0-","AUCell1"
"11",66,"GS-10-0-","UCell1"
"12",37,"GS-10-0-","scPS1"
"13",35,"GS-10-0-","SCSE1"
"14",33,"GS-10-0-","AddModuleScore1"
"15",4,"GS-10-0-","ssGSEA2"
"16",71,"GS-10-0-","JASMINE2"
"17",87,"GS-10-0-","AUCell2"
"18",72,"GS-10-0-","UCell2"
"19",43,"GS-10-0-","scPS2"
"20",35,"GS-10-0-","SCSE2"
"21",30,"GS-10-0-","AddModuleScore2"
"22",4,"GS-10-0-","ssGSEA3"
"23",67,"GS-10-0-","JASMINE3"
"24",83,"GS-10-0-","AUCell3"
"25",73,"GS-10-0-","UCell3"
"26",35,"GS-10-0-","scPS3"
"27",26,"GS-10-0-","SCSE3"
"28",17,"GS-10-0-","AddModuleScore3"
"29",1,"GS-10-0-","ssGSEA4"
"30",64,"GS-10-0-","JASMINE4"
"31",76,"GS-10-0-","AUCell4"
"32",65,"GS-10-0-","UCell4"
"33",30,"GS-10-0-","scPS4"
"34",25,"GS-10-0-","SCSE4"
"35",24,"GS-10-0-","AddModuleScore4"
"36",5,"GS-10-0-","ssGSEA5"
"37",59,"GS-10-0-","JASMINE5"
"38",81,"GS-10-0-","AUCell5"
"39",62,"GS-10-0-","UCell5"
"40",35,"GS-10-0-","scPS5"
"41",33,"GS-10-0-","SCSE5"
"42",27,"GS-10-0-","AddModuleScore5"
"43",2,"GS-10-0-","ssGSEA6"
"44",69,"GS-10-0-","JASMINE6"
"45",79,"GS-10-0-","AUCell6"
"46",66,"GS-10-0-","UCell6"
"47",40,"GS-10-0-","scPS6"
"48",36,"GS-10-0-","SCSE6"
"49",36,"GS-10-0-","AddModuleScore6"
"50",2,"GS-10-0-","ssGSEA7"
"51",83,"GS-10-0-","JASMINE7"
"52",89,"GS-10-0-","AUCell7"
"53",82,"GS-10-0-","UCell7"
"54",47,"GS-10-0-","scPS7"
"55",33,"GS-10-0-","SCSE7"
"56",25,"GS-10-0-","AddModuleScore7"
"57",1,"GS-10-0-","ssGSEA8"
"58",66,"GS-10-0-","JASMINE8"
"59",79,"GS-10-0-","AUCell8"
"60",63,"GS-10-0-","UCell8"
"61",34,"GS-10-0-","scPS8"
"62",25,"GS-10-0-","SCSE8"
"63",20,"GS-10-0-","AddModuleScore8"
"64",3,"GS-10-0-","ssGSEA9"
"65",69,"GS-10-0-","JASMINE9"
"66",76,"GS-10-0-","AUCell9"
"67",59,"GS-10-0-","UCell9"
"68",39,"GS-10-0-","scPS9"
"69",32,"GS-10-0-","SCSE9"
"70",30,"GS-10-0-","AddModuleScore9"
"71",1,"GS-10-0.2-","ssGSEA"
"72",36,"GS-10-0.2-","JASMINE"
"73",56,"GS-10-0.2-","AUCell"
"74",34,"GS-10-0.2-","UCell"
"75",12,"GS-10-0.2-","scPS"
"76",9,"GS-10-0.2-","SCSE"
"77",9,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",59,"GS-10-0.2-","JASMINE1"
"80",70,"GS-10-0.2-","AUCell1"
"81",50,"GS-10-0.2-","UCell1"
"82",29,"GS-10-0.2-","scPS1"
"83",30,"GS-10-0.2-","SCSE1"
"84",28,"GS-10-0.2-","AddModuleScore1"
"85",4,"GS-10-0.2-","ssGSEA2"
"86",61,"GS-10-0.2-","JASMINE2"
"87",72,"GS-10-0.2-","AUCell2"
"88",59,"GS-10-0.2-","UCell2"
"89",34,"GS-10-0.2-","scPS2"
"90",28,"GS-10-0.2-","SCSE2"
"91",26,"GS-10-0.2-","AddModuleScore2"
"92",1,"GS-10-0.2-","ssGSEA3"
"93",52,"GS-10-0.2-","JASMINE3"
"94",62,"GS-10-0.2-","AUCell3"
"95",55,"GS-10-0.2-","UCell3"
"96",26,"GS-10-0.2-","scPS3"
"97",25,"GS-10-0.2-","SCSE3"
"98",14,"GS-10-0.2-","AddModuleScore3"
"99",1,"GS-10-0.2-","ssGSEA4"
"100",50,"GS-10-0.2-","JASMINE4"
"101",63,"GS-10-0.2-","AUCell4"
"102",49,"GS-10-0.2-","UCell4"
"103",31,"GS-10-0.2-","scPS4"
"104",25,"GS-10-0.2-","SCSE4"
"105",18,"GS-10-0.2-","AddModuleScore4"
"106",3,"GS-10-0.2-","ssGSEA5"
"107",48,"GS-10-0.2-","JASMINE5"
"108",67,"GS-10-0.2-","AUCell5"
"109",47,"GS-10-0.2-","UCell5"
"110",25,"GS-10-0.2-","scPS5"
"111",24,"GS-10-0.2-","SCSE5"
"112",20,"GS-10-0.2-","AddModuleScore5"
"113",1,"GS-10-0.2-","ssGSEA6"
"114",59,"GS-10-0.2-","JASMINE6"
"115",67,"GS-10-0.2-","AUCell6"
"116",56,"GS-10-0.2-","UCell6"
"117",35,"GS-10-0.2-","scPS6"
"118",31,"GS-10-0.2-","SCSE6"
"119",28,"GS-10-0.2-","AddModuleScore6"
"120",2,"GS-10-0.2-","ssGSEA7"
"121",68,"GS-10-0.2-","JASMINE7"
"122",78,"GS-10-0.2-","AUCell7"
"123",65,"GS-10-0.2-","UCell7"
"124",39,"GS-10-0.2-","scPS7"
"125",31,"GS-10-0.2-","SCSE7"
"126",24,"GS-10-0.2-","AddModuleScore7"
"127",1,"GS-10-0.2-","ssGSEA8"
"128",52,"GS-10-0.2-","JASMINE8"
"129",66,"GS-10-0.2-","AUCell8"
"130",47,"GS-10-0.2-","UCell8"
"131",22,"GS-10-0.2-","scPS8"
"132",17,"GS-10-0.2-","SCSE8"
"133",11,"GS-10-0.2-","AddModuleScore8"
"134",2,"GS-10-0.2-","ssGSEA9"
"135",54,"GS-10-0.2-","JASMINE9"
"136",63,"GS-10-0.2-","AUCell9"
"137",48,"GS-10-0.2-","UCell9"
"138",32,"GS-10-0.2-","scPS9"
"139",24,"GS-10-0.2-","SCSE9"
"140",21,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",29,"GS-10-0.5-","JASMINE"
"143",38,"GS-10-0.5-","AUCell"
"144",18,"GS-10-0.5-","UCell"
"145",9,"GS-10-0.5-","scPS"
"146",9,"GS-10-0.5-","SCSE"
"147",7,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",24,"GS-10-0.5-","JASMINE1"
"150",39,"GS-10-0.5-","AUCell1"
"151",21,"GS-10-0.5-","UCell1"
"152",15,"GS-10-0.5-","scPS1"
"153",11,"GS-10-0.5-","SCSE1"
"154",10,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",38,"GS-10-0.5-","JASMINE2"
"157",51,"GS-10-0.5-","AUCell2"
"158",32,"GS-10-0.5-","UCell2"
"159",22,"GS-10-0.5-","scPS2"
"160",19,"GS-10-0.5-","SCSE2"
"161",14,"GS-10-0.5-","AddModuleScore2"
"162",2,"GS-10-0.5-","ssGSEA3"
"163",28,"GS-10-0.5-","JASMINE3"
"164",34,"GS-10-0.5-","AUCell3"
"165",28,"GS-10-0.5-","UCell3"
"166",13,"GS-10-0.5-","scPS3"
"167",13,"GS-10-0.5-","SCSE3"
"168",10,"GS-10-0.5-","AddModuleScore3"
"169",2,"GS-10-0.5-","ssGSEA4"
"170",28,"GS-10-0.5-","JASMINE4"
"171",34,"GS-10-0.5-","AUCell4"
"172",23,"GS-10-0.5-","UCell4"
"173",14,"GS-10-0.5-","scPS4"
"174",14,"GS-10-0.5-","SCSE4"
"175",8,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",31,"GS-10-0.5-","JASMINE5"
"178",39,"GS-10-0.5-","AUCell5"
"179",24,"GS-10-0.5-","UCell5"
"180",21,"GS-10-0.5-","scPS5"
"181",19,"GS-10-0.5-","SCSE5"
"182",17,"GS-10-0.5-","AddModuleScore5"
"183",1,"GS-10-0.5-","ssGSEA6"
"184",35,"GS-10-0.5-","JASMINE6"
"185",35,"GS-10-0.5-","AUCell6"
"186",33,"GS-10-0.5-","UCell6"
"187",18,"GS-10-0.5-","scPS6"
"188",14,"GS-10-0.5-","SCSE6"
"189",13,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",36,"GS-10-0.5-","JASMINE7"
"192",48,"GS-10-0.5-","AUCell7"
"193",33,"GS-10-0.5-","UCell7"
"194",21,"GS-10-0.5-","scPS7"
"195",17,"GS-10-0.5-","SCSE7"
"196",14,"GS-10-0.5-","AddModuleScore7"
"197",2,"GS-10-0.5-","ssGSEA8"
"198",40,"GS-10-0.5-","JASMINE8"
"199",49,"GS-10-0.5-","AUCell8"
"200",34,"GS-10-0.5-","UCell8"
"201",17,"GS-10-0.5-","scPS8"
"202",16,"GS-10-0.5-","SCSE8"
"203",16,"GS-10-0.5-","AddModuleScore8"
"204",0,"GS-10-0.5-","ssGSEA9"
"205",30,"GS-10-0.5-","JASMINE9"
"206",33,"GS-10-0.5-","AUCell9"
"207",24,"GS-10-0.5-","UCell9"
"208",22,"GS-10-0.5-","scPS9"
"209",19,"GS-10-0.5-","SCSE9"
"210",17,"GS-10-0.5-","AddModuleScore9"
"211",0,"GS-10-0.8-","ssGSEA"
"212",6,"GS-10-0.8-","JASMINE"
"213",11,"GS-10-0.8-","AUCell"
"214",7,"GS-10-0.8-","UCell"
"215",1,"GS-10-0.8-","scPS"
"216",1,"GS-10-0.8-","SCSE"
"217",2,"GS-10-0.8-","AddModuleScore"
"218",0,"GS-10-0.8-","ssGSEA1"
"219",11,"GS-10-0.8-","JASMINE1"
"220",13,"GS-10-0.8-","AUCell1"
"221",11,"GS-10-0.8-","UCell1"
"222",9,"GS-10-0.8-","scPS1"
"223",9,"GS-10-0.8-","SCSE1"
"224",7,"GS-10-0.8-","AddModuleScore1"
"225",1,"GS-10-0.8-","ssGSEA2"
"226",13,"GS-10-0.8-","JASMINE2"
"227",19,"GS-10-0.8-","AUCell2"
"228",9,"GS-10-0.8-","UCell2"
"229",10,"GS-10-0.8-","scPS2"
"230",11,"GS-10-0.8-","SCSE2"
"231",11,"GS-10-0.8-","AddModuleScore2"
"232",0,"GS-10-0.8-","ssGSEA3"
"233",9,"GS-10-0.8-","JASMINE3"
"234",8,"GS-10-0.8-","AUCell3"
"235",10,"GS-10-0.8-","UCell3"
"236",7,"GS-10-0.8-","scPS3"
"237",6,"GS-10-0.8-","SCSE3"
"238",7,"GS-10-0.8-","AddModuleScore3"
"239",0,"GS-10-0.8-","ssGSEA4"
"240",11,"GS-10-0.8-","JASMINE4"
