"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",2,1,0,0,1,2,2,0,0,0,1,1,1,0,1,0,0,0,1,0,2,4,0,1,0,13,4,0,0,0,26,10,5,1,0,42,23,2,0,1,74,28,3,0,1,100,50,0,0,0
"JASMINE",56,36,29,6,2,91,80,55,16,2,99,91,63,11,4,100,98,77,21,5,100,100,88,33,3,100,100,98,41,9,100,100,100,61,11,100,100,100,74,18,100,100,100,83,18,100,100,100,93,14
"AUCell",74,56,38,11,1,100,94,71,22,3,100,99,79,23,10,100,100,93,40,5,100,100,98,51,9,100,100,100,67,15,100,100,100,88,19,100,100,100,95,37,100,100,100,100,45,100,100,100,99,56
"UCell",56,34,18,7,1,87,65,36,10,3,93,81,44,5,2,100,91,55,14,4,99,92,68,13,4,100,100,91,23,8,100,100,100,28,2,100,100,100,38,11,100,100,100,46,9,100,100,100,59,4
"scPS",26,12,9,1,1,49,36,16,4,2,58,35,23,5,3,61,45,23,8,4,78,55,33,7,0,95,85,38,12,3,100,98,79,13,2,100,100,79,17,1,100,100,96,16,0,100,100,94,15,0
"SCSE",24,9,9,1,1,37,31,15,4,2,50,31,23,4,3,57,42,21,7,4,73,53,26,7,2,96,88,37,15,7,100,99,87,16,5,100,100,86,26,6,100,100,100,26,3,100,100,100,30,1
"AddModuleScore",18,9,7,2,2,30,27,12,4,2,38,25,24,4,3,52,40,20,7,3,70,50,25,5,1,96,86,39,16,4,100,99,87,16,5,100,100,86,26,7,100,100,100,25,3,100,100,100,30,1
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"JASMINE1",68,59,24,11,4,94,88,62,19,7,100,94,71,23,3,100,98,78,25,9,100,100,94,32,11,100,100,100,54,7,100,100,100,70,22,100,100,100,89,29,100,100,100,95,31,100,100,100,99,31
"AUCell1",85,70,39,13,7,98,95,79,25,5,100,99,92,39,5,100,100,94,44,12,100,100,99,51,14,100,100,100,74,18,100,100,100,92,36,100,100,100,97,48,100,100,100,100,68,100,100,100,100,69
"UCell1",66,50,21,11,4,89,75,41,11,4,98,85,47,10,3,100,94,55,18,7,100,99,68,8,7,100,100,95,20,8,100,100,100,32,16,100,100,100,41,22,100,100,100,48,32,100,100,100,56,29
"scPS1",37,29,15,9,1,56,37,20,10,4,75,60,31,17,2,83,62,33,15,4,90,77,49,14,4,100,94,64,24,1,100,100,85,22,7,100,100,97,27,4,100,100,98,31,7,100,100,100,28,1
