"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",28,37,62,88,92,37,52,68,89,91,50,63,71,76,85,57,66,78,79,81,66,71,76,76,87,95,76,67,74,83,100,83,59,67,78,100,86,66,62,82,100,90,60,70,76,100,90,71,62,79
"JASMINE",94,98,89,75,34,100,97,98,95,48,100,99,95,89,55,100,100,95,86,69,100,100,99,84,76,100,100,100,95,77,100,100,100,97,84,100,100,100,99,89,100,100,100,100,94,100,100,100,100,94
"AUCell",100,98,96,91,58,100,97,98,94,71,100,99,93,90,73,100,100,94,91,75,100,100,98,90,78,100,100,100,90,80,100,100,100,98,82,100,100,100,100,83,100,100,100,100,93,100,100,100,99,83
"UCell",67,58,46,56,31,86,78,55,52,45,98,88,68,50,52,99,87,80,58,53,100,89,73,56,61,100,96,75,57,76,100,100,79,44,83,100,100,90,32,91,100,100,88,39,98,100,100,94,25,96
"scPS",0,7,15,14,22,1,6,14,22,33,0,6,15,34,45,0,7,18,35,53,0,8,20,45,60,0,8,24,60,79,0,5,33,73,92,0,4,34,82,98,0,5,34,85,100,0,4,46,84,100
"SCSE",100,98,95,84,35,100,99,99,91,46,100,100,97,84,56,100,100,99,86,67,100,100,100,86,78,100,100,100,95,74,100,100,100,99,81,100,100,100,100,81,100,100,100,100,89,100,100,100,100,92
"AddModuleScore",100,98,96,95,47,100,99,99,95,57,100,100,95,90,51,100,100,93,93,51,100,100,96,87,59,100,100,96,73,72,100,100,94,76,80,100,100,88,79,79,100,100,84,77,82,100,100,81,70,78
"ssGSEA1",14,22,53,87,95,10,25,46,79,92,18,22,71,77,80,17,37,62,77,85,23,47,68,73,79,37,51,53,72,77,51,47,44,73,79,59,49,45,68,74,76,50,34,60,80,97,54,37,66,79
"JASMINE1",98,94,94,60,21,100,98,98,91,58,100,100,96,91,53,100,100,96,93,64,100,100,97,87,59,100,100,100,93,76,100,100,100,97,80,100,100,100,99,93,100,100,100,100,94,100,100,100,100,95
"AUCell1",100,98,95,85,48,100,99,99,95,74,100,100,94,93,75,100,100,97,95,84,100,100,97,84,76,100,100,99,88,87,100,100,100,88,85,100,100,100,99,76,100,100,100,99,84,100,100,100,100,83
"UCell1",52,46,43,47,19,73,54,45,45,55,88,73,62,53,48,97,79,65,46,56,100,89,57,54,51,100,93,58,47,71,100,100,70,46,91,100,99,67,48,92,100,100,70,31,97,100,100,79,44,99
"scPS1",0,5,14,20,17,2,4,12,21,42,0,5,21,31,52,1,13,14,30,59,0,8,20,57,55,0,7,32,61,78,0,8,37,79,97,0,8,43,83,99,0,7,56,91,100,0,6,47,91,100
"SCSE1",100,100,96,75,23,100,100,98,88,54,100,100,99,91,52,100,100,99,94,62,100,100,98,90,58,100,100,100,93,72,100,100,100,99,77,100,100,100,100,87,100,100,100,100,90,100,100,100,100,93
"AddModuleScore1",100,100,97,91,43,100,100,98,96,57,100,100,94,94,54,100,100,97,93,54,100,100,98,87,53,100,100,96,85,70,100,100,89,90,78,100,100,76,69,81,100,100,75,79,79,100,100,79,69,83
"ssGSEA2",18,33,54,87,91,24,42,55,85,92,29,46,71,78,87,31,49,80,78,83,40,57,66,69,75,62,63,64,73,80,71,61,57,62,77,95,73,46,75,87,100,62,55,68,83,100,72,51,62,73
"JASMINE2",100,98,92,79,32,100,98,99,96,61,100,100,95,93,62,100,100,97,97,62,100,100,100,90,69,100,100,100,96,85,100,100,100,97,86,100,100,100,100,92,100,100,100,100,97,100,100,100,100,93
"AUCell2",100,98,95,90,42,100,97,98,92,82,100,100,96,89,82,100,100,98,96,69,100,100,100,92,70,100,100,100,87,84,100,100,100,94,84,100,100,100,99,85,100,100,100,99,83,100,100,100,98,84
"UCell2",60,52,49,59,28,88,77,51,50,51,97,86,60,54,51,99,81,68,54,51,99,89,65,51,62,100,95,73,54,75,100,98,80,35,87,100,100,71,49,85,100,100,83,29,96,100,100,88,31,100
"scPS2",1,9,14,14,25,1,7,15,20,32,0,4,20,36,38,0,11,26,35,51,1,10,19,49,58,0,6,27,62,82,0,11,35,75,96,0,4,45,88,98,0,8,32,89,100,0,7,42,97,100
