"","count","geneset","methods"
"1",1,"GS-10-0-","ssGSEA"
"2",68,"GS-10-0-","JASMINE"
"3",87,"GS-10-0-","AUCell"
"4",53,"GS-10-0-","UCell"
"5",38,"GS-10-0-","scPS"
"6",34,"GS-10-0-","SCSE"
"7",31,"GS-10-0-","AddModuleScore"
"8",2,"GS-10-0-","ssGSEA1"
"9",73,"GS-10-0-","JASMINE1"
"10",83,"GS-10-0-","AUCell1"
"11",65,"GS-10-0-","UCell1"
"12",50,"GS-10-0-","scPS1"
"13",41,"GS-10-0-","SCSE1"
"14",30,"GS-10-0-","AddModuleScore1"
"15",1,"GS-10-0-","ssGSEA2"
"16",75,"GS-10-0-","JASMINE2"
"17",90,"GS-10-0-","AUCell2"
"18",67,"GS-10-0-","UCell2"
"19",56,"GS-10-0-","scPS2"
"20",42,"GS-10-0-","SCSE2"
"21",26,"GS-10-0-","AddModuleScore2"
"22",10,"GS-10-0-","ssGSEA3"
"23",74,"GS-10-0-","JASMINE3"
"24",88,"GS-10-0-","AUCell3"
"25",65,"GS-10-0-","UCell3"
"26",50,"GS-10-0-","scPS3"
"27",36,"GS-10-0-","SCSE3"
"28",34,"GS-10-0-","AddModuleScore3"
"29",2,"GS-10-0-","ssGSEA4"
"30",76,"GS-10-0-","JASMINE4"
"31",89,"GS-10-0-","AUCell4"
"32",69,"GS-10-0-","UCell4"
"33",59,"GS-10-0-","scPS4"
"34",52,"GS-10-0-","SCSE4"
"35",39,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",67,"GS-10-0-","JASMINE5"
"38",81,"GS-10-0-","AUCell5"
"39",51,"GS-10-0-","UCell5"
"40",32,"GS-10-0-","scPS5"
"41",24,"GS-10-0-","SCSE5"
"42",22,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",74,"GS-10-0-","JASMINE6"
"45",91,"GS-10-0-","AUCell6"
"46",58,"GS-10-0-","UCell6"
"47",34,"GS-10-0-","scPS6"
"48",28,"GS-10-0-","SCSE6"
"49",27,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",67,"GS-10-0-","JASMINE7"
"52",81,"GS-10-0-","AUCell7"
"53",57,"GS-10-0-","UCell7"
"54",46,"GS-10-0-","scPS7"
"55",31,"GS-10-0-","SCSE7"
"56",19,"GS-10-0-","AddModuleScore7"
"57",1,"GS-10-0-","ssGSEA8"
"58",77,"GS-10-0-","JASMINE8"
"59",92,"GS-10-0-","AUCell8"
"60",72,"GS-10-0-","UCell8"
"61",48,"GS-10-0-","scPS8"
"62",38,"GS-10-0-","SCSE8"
"63",24,"GS-10-0-","AddModuleScore8"
"64",1,"GS-10-0-","ssGSEA9"
"65",83,"GS-10-0-","JASMINE9"
"66",93,"GS-10-0-","AUCell9"
"67",60,"GS-10-0-","UCell9"
"68",37,"GS-10-0-","scPS9"
"69",26,"GS-10-0-","SCSE9"
"70",23,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",60,"GS-10-0.2-","JASMINE"
"73",76,"GS-10-0.2-","AUCell"
"74",42,"GS-10-0.2-","UCell"
"75",32,"GS-10-0.2-","scPS"
"76",28,"GS-10-0.2-","SCSE"
"77",22,"GS-10-0.2-","AddModuleScore"
"78",2,"GS-10-0.2-","ssGSEA1"
"79",62,"GS-10-0.2-","JASMINE1"
"80",73,"GS-10-0.2-","AUCell1"
"81",54,"GS-10-0.2-","UCell1"
"82",43,"GS-10-0.2-","scPS1"
"83",31,"GS-10-0.2-","SCSE1"
"84",27,"GS-10-0.2-","AddModuleScore1"
"85",4,"GS-10-0.2-","ssGSEA2"
"86",65,"GS-10-0.2-","JASMINE2"
"87",78,"GS-10-0.2-","AUCell2"
"88",58,"GS-10-0.2-","UCell2"
"89",50,"GS-10-0.2-","scPS2"
"90",38,"GS-10-0.2-","SCSE2"
"91",23,"GS-10-0.2-","AddModuleScore2"
"92",8,"GS-10-0.2-","ssGSEA3"
"93",72,"GS-10-0.2-","JASMINE3"
"94",82,"GS-10-0.2-","AUCell3"
"95",55,"GS-10-0.2-","UCell3"
"96",37,"GS-10-0.2-","scPS3"
"97",29,"GS-10-0.2-","SCSE3"
"98",25,"GS-10-0.2-","AddModuleScore3"
"99",4,"GS-10-0.2-","ssGSEA4"
"100",68,"GS-10-0.2-","JASMINE4"
"101",79,"GS-10-0.2-","AUCell4"
"102",57,"GS-10-0.2-","UCell4"
"103",46,"GS-10-0.2-","scPS4"
"104",38,"GS-10-0.2-","SCSE4"
"105",27,"GS-10-0.2-","AddModuleScore4"
"106",0,"GS-10-0.2-","ssGSEA5"
"107",58,"GS-10-0.2-","JASMINE5"
"108",72,"GS-10-0.2-","AUCell5"
"109",43,"GS-10-0.2-","UCell5"
"110",32,"GS-10-0.2-","scPS5"
"111",21,"GS-10-0.2-","SCSE5"
"112",18,"GS-10-0.2-","AddModuleScore5"
"113",0,"GS-10-0.2-","ssGSEA6"
"114",59,"GS-10-0.2-","JASMINE6"
"115",71,"GS-10-0.2-","AUCell6"
"116",40,"GS-10-0.2-","UCell6"
"117",24,"GS-10-0.2-","scPS6"
"118",19,"GS-10-0.2-","SCSE6"
"119",19,"GS-10-0.2-","AddModuleScore6"
"120",0,"GS-10-0.2-","ssGSEA7"
"121",55,"GS-10-0.2-","JASMINE7"
"122",67,"GS-10-0.2-","AUCell7"
"123",42,"GS-10-0.2-","UCell7"
"124",29,"GS-10-0.2-","scPS7"
"125",23,"GS-10-0.2-","SCSE7"
"126",17,"GS-10-0.2-","AddModuleScore7"
"127",2,"GS-10-0.2-","ssGSEA8"
"128",60,"GS-10-0.2-","JASMINE8"
"129",74,"GS-10-0.2-","AUCell8"
"130",50,"GS-10-0.2-","UCell8"
"131",38,"GS-10-0.2-","scPS8"
"132",26,"GS-10-0.2-","SCSE8"
"133",15,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",61,"GS-10-0.2-","JASMINE9"
"136",76,"GS-10-0.2-","AUCell9"
"137",41,"GS-10-0.2-","UCell9"
"138",27,"GS-10-0.2-","scPS9"
"139",20,"GS-10-0.2-","SCSE9"
"140",19,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",34,"GS-10-0.5-","JASMINE"
"143",46,"GS-10-0.5-","AUCell"
"144",27,"GS-10-0.5-","UCell"
"145",23,"GS-10-0.5-","scPS"
"146",19,"GS-10-0.5-","SCSE"
"147",18,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",42,"GS-10-0.5-","JASMINE1"
"150",55,"GS-10-0.5-","AUCell1"
"151",32,"GS-10-0.5-","UCell1"
"152",27,"GS-10-0.5-","scPS1"
"153",16,"GS-10-0.5-","SCSE1"
"154",12,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",40,"GS-10-0.5-","JASMINE2"
"157",55,"GS-10-0.5-","AUCell2"
"158",33,"GS-10-0.5-","UCell2"
"159",20,"GS-10-0.5-","scPS2"
"160",14,"GS-10-0.5-","SCSE2"
