"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",19,12,7,1,3,47,31,20,5,3,55,46,24,3,3,78,64,32,9,12,77,74,38,5,17,99,94,67,5,22,100,100,98,12,52,100,100,100,24,81,100,100,99,39,88,100,100,100,44,97
"AUCell",5,5,1,0,0,12,8,7,2,1,17,16,4,4,3,32,22,9,2,4,28,18,7,2,6,65,45,14,4,18,91,71,49,1,40,99,90,68,3,71,100,98,73,12,78,100,100,94,13,89
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",35,24,18,9,1,52,48,40,9,3,57,59,40,12,2,74,76,43,15,1,77,75,59,14,3,93,84,65,24,2,92,96,94,44,4,98,92,93,59,3,100,93,94,69,3,100,99,95,72,2
"SCSE",8,1,0,0,1,12,10,7,2,1,15,13,5,4,2,27,18,4,3,2,32,20,5,4,4,61,50,10,3,4,93,70,40,4,15,99,97,66,7,17,100,99,70,9,23,100,100,89,6,40
"AddModuleScore",3,0,1,1,2,2,7,5,2,2,1,13,5,3,1,7,19,7,2,0,5,29,16,3,2,11,79,42,6,2,41,100,96,13,2,81,100,100,17,1,94,100,100,37,3,100,100,100,28,2
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",13,13,4,6,1,37,21,9,6,6,66,53,17,4,2,73,62,25,6,4,78,68,46,6,3,91,91,68,11,9,96,95,87,8,25,99,99,97,19,32,100,100,99,25,47,100,100,98,38,55
"AUCell1",4,3,3,5,2,3,4,1,3,4,13,12,3,2,1,15,15,8,1,4,20,17,6,2,2,39,32,12,4,9,82,62,26,3,31,98,86,49,6,35,100,98,65,7,63,100,100,72,5,73
"UCell1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS1",49,36,24,17,1,59,48,43,22,5,76,75,52,31,2,75,84,65,33,0,87,83,80,32,4,87,96,91,54,6,94,98,98,87,3,99,97,100,97,12,99,100,100,99,6,99,100,99,100,5
