"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",0,"GS-10-0-","JASMINE"
"3",0,"GS-10-0-","AUCell"
"4",0,"GS-10-0-","UCell"
"5",0,"GS-10-0-","scPS"
"6",0,"GS-10-0-","SCSE"
"7",0,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",0,"GS-10-0-","JASMINE1"
"10",0,"GS-10-0-","AUCell1"
"11",0,"GS-10-0-","UCell1"
"12",0,"GS-10-0-","scPS1"
"13",0,"GS-10-0-","SCSE1"
"14",0,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0.2-","ssGSEA"
"16",0,"GS-10-0.2-","JASMINE"
"17",0,"GS-10-0.2-","AUCell"
"18",0,"GS-10-0.2-","UCell"
"19",0,"GS-10-0.2-","scPS"
"20",0,"GS-10-0.2-","SCSE"
"21",0,"GS-10-0.2-","AddModuleScore"
"22",0,"GS-10-0.2-","ssGSEA1"
"23",0,"GS-10-0.2-","JASMINE1"
"24",0,"GS-10-0.2-","AUCell1"
"25",0,"GS-10-0.2-","UCell1"
"26",0,"GS-10-0.2-","scPS1"
"27",0,"GS-10-0.2-","SCSE1"
"28",0,"GS-10-0.2-","AddModuleScore1"
"29",0,"GS-10-0.5-","ssGSEA"
"30",0,"GS-10-0.5-","JASMINE"
"31",0,"GS-10-0.5-","AUCell"
"32",0,"GS-10-0.5-","UCell"
"33",0,"GS-10-0.5-","scPS"
"34",0,"GS-10-0.5-","SCSE"
"35",0,"GS-10-0.5-","AddModuleScore"
"36",0,"GS-10-0.5-","ssGSEA1"
"37",0,"GS-10-0.5-","JASMINE1"
"38",0,"GS-10-0.5-","AUCell1"
"39",0,"GS-10-0.5-","UCell1"
"40",0,"GS-10-0.5-","scPS1"
"41",0,"GS-10-0.5-","SCSE1"
"42",0,"GS-10-0.5-","AddModuleScore1"
"43",0,"GS-10-0.8-","ssGSEA"
"44",0,"GS-10-0.8-","JASMINE"
"45",0,"GS-10-0.8-","AUCell"
"46",0,"GS-10-0.8-","UCell"
"47",0,"GS-10-0.8-","scPS"
"48",0,"GS-10-0.8-","SCSE"
"49",0,"GS-10-0.8-","AddModuleScore"
"50",0,"GS-10-0.8-","ssGSEA1"
"51",0,"GS-10-0.8-","JASMINE1"
"52",0,"GS-10-0.8-","AUCell1"
"53",0,"GS-10-0.8-","UCell1"
"54",0,"GS-10-0.8-","scPS1"
"55",0,"GS-10-0.8-","SCSE1"
"56",0,"GS-10-0.8-","AddModuleScore1"
"57",0,"GS-10-1-","ssGSEA"
"58",0,"GS-10-1-","JASMINE"
"59",0,"GS-10-1-","AUCell"
"60",0,"GS-10-1-","UCell"
"61",0,"GS-10-1-","scPS"
"62",0,"GS-10-1-","SCSE"
"63",0,"GS-10-1-","AddModuleScore"
"64",0,"GS-10-1-","ssGSEA1"
"65",0,"GS-10-1-","JASMINE1"
"66",0,"GS-10-1-","AUCell1"
"67",0,"GS-10-1-","UCell1"
"68",0,"GS-10-1-","scPS1"
"69",0,"GS-10-1-","SCSE1"
"70",0,"GS-10-1-","AddModuleScore1"
"71",0,"GS-20-0-","ssGSEA"
"72",0,"GS-20-0-","JASMINE"
"73",0,"GS-20-0-","AUCell"
"74",0,"GS-20-0-","UCell"
"75",0,"GS-20-0-","scPS"
"76",0,"GS-20-0-","SCSE"
"77",0,"GS-20-0-","AddModuleScore"
"78",0,"GS-20-0-","ssGSEA1"
"79",0,"GS-20-0-","JASMINE1"
"80",0,"GS-20-0-","AUCell1"
"81",0,"GS-20-0-","UCell1"
"82",0,"GS-20-0-","scPS1"
"83",0,"GS-20-0-","SCSE1"
"84",0,"GS-20-0-","AddModuleScore1"
"85",0,"GS-20-0.2-","ssGSEA"
"86",0,"GS-20-0.2-","JASMINE"
"87",0,"GS-20-0.2-","AUCell"
"88",0,"GS-20-0.2-","UCell"
"89",0,"GS-20-0.2-","scPS"
"90",0,"GS-20-0.2-","SCSE"
"91",0,"GS-20-0.2-","AddModuleScore"
"92",0,"GS-20-0.2-","ssGSEA1"
"93",0,"GS-20-0.2-","JASMINE1"
"94",0,"GS-20-0.2-","AUCell1"
"95",0,"GS-20-0.2-","UCell1"
"96",0,"GS-20-0.2-","scPS1"
"97",0,"GS-20-0.2-","SCSE1"
"98",0,"GS-20-0.2-","AddModuleScore1"
"99",0,"GS-20-0.5-","ssGSEA"
"100",0,"GS-20-0.5-","JASMINE"
"101",0,"GS-20-0.5-","AUCell"
"102",0,"GS-20-0.5-","UCell"
"103",0,"GS-20-0.5-","scPS"
"104",0,"GS-20-0.5-","SCSE"
"105",0,"GS-20-0.5-","AddModuleScore"
"106",0,"GS-20-0.5-","ssGSEA1"
"107",0,"GS-20-0.5-","JASMINE1"
"108",0,"GS-20-0.5-","AUCell1"
"109",0,"GS-20-0.5-","UCell1"
"110",0,"GS-20-0.5-","scPS1"
"111",0,"GS-20-0.5-","SCSE1"
"112",0,"GS-20-0.5-","AddModuleScore1"
"113",0,"GS-20-0.8-","ssGSEA"
"114",0,"GS-20-0.8-","JASMINE"
"115",0,"GS-20-0.8-","AUCell"
"116",0,"GS-20-0.8-","UCell"
"117",0,"GS-20-0.8-","scPS"
"118",0,"GS-20-0.8-","SCSE"
"119",0,"GS-20-0.8-","AddModuleScore"
"120",0,"GS-20-0.8-","ssGSEA1"
"121",0,"GS-20-0.8-","JASMINE1"
"122",0,"GS-20-0.8-","AUCell1"
"123",0,"GS-20-0.8-","UCell1"
"124",0,"GS-20-0.8-","scPS1"
"125",0,"GS-20-0.8-","SCSE1"
